aardvark	1,28,25,39,28,5
aardvarks	1,28,25,39,28,5,14
aback	1,3,1,9,5
abacus	1,3,1,9,37,14
abacuses	1,3,1,9,37,14,17,14
abaft	1,3,1,11,30
abalone	1,3,1,7,21,29,17
abalones	1,3,1,7,21,29,17,14
abandon	1,3,47,21,29
abandoned	1,3,47,21,29,43
abandoning	1,3,47,21,29,44
abandons	1,3,47,21,29,14
abase	1,3,1,14,17
abased	1,3,1,14,43
abasement	1,3,1,14,17,48,30
abases	1,3,1,14,17,14
abash	1,3,1,41
abashed	1,3,1,41,43
abashes	1,3,1,41,17,14
abashing	1,3,1,41,44
abasing	1,3,1,14,44
abate	1,3,1,30,17
abated	1,3,1,30,43
abatement	1,3,1,30,17,48,30
abates	1,3,1,30,17,14
abating	1,3,1,30,44
abattoir	1,3,1,30,30,21,10,23
abattoirs	1,3,1,30,30,21,10,23,14
abbess	1,6,17,14,14
abbesses	1,6,17,14,14,17,14
abbey	1,6,17,61
abbeys	1,6,17,61,14
abbot	1,6,21,30
abbots	1,6,21,30,14
abbreviate	1,6,23,17,39,10,1,30,17
abdicate	1,3,25,10,9,1,30,17
abdicated	1,3,25,10,9,1,30,43
abdicates	1,3,25,10,9,1,30,17,14
abdicating	1,3,25,10,9,1,30,44
abdication	1,3,25,10,9,1,48,29
abdomen	1,3,25,21,13,34
abdomens	1,3,25,21,13,34,14
abdominal	1,3,25,21,13,20,1,7
abduct	1,3,25,37,9,30
abducted	1,3,25,37,9,30,43
abductee	1,3,25,37,9,30,17,17
abductees	1,3,25,37,9,30,17,17,14
abducting	1,3,25,37,9,30,44
abduction	1,3,25,37,9,48,29
abductions	1,3,25,37,9,48,29,14
abductor	1,3,25,37,9,30,21,23
abductors	1,3,25,37,9,30,21,23,14
abducts	1,3,25,37,9,30,14
abeam	1,3,2,13
abed	1,3,43
aberrant	1,3,59,23,1,29,30
aberration	1,3,59,23,1,48,29
abet	1,3,17,30
abets	1,3,17,30,14
abetted	1,3,17,30,30,43
abetting	1,3,17,30,30,44
abettor	1,3,17,30,30,21,23
abettors	1,3,17,30,30,21,23,14
abeyance	1,3,17,61,40,17
abhor	1,3,19,21,23
abhorred	1,3,19,21,23,23,43
abhorrence	1,3,19,21,23,23,48,17
abhorrent	1,3,19,21,23,23,34,30
abhorring	1,3,19,21,23,23,44
abhors	1,3,19,21,23,14
abide	1,3,10,25,17
abides	1,3,10,25,17,14
abiding	1,3,10,25,44
abilities	1,3,10,7,10,30,10,17,14
ability	1,3,10,7,48,61
abject	1,3,26,17,9,30
abjectly	1,3,26,17,9,30,7,61
abjuration	1,3,26,37,23,1,48,29
abjure	1,3,26,37,23,17
abjured	1,3,26,37,23,43
abjures	1,3,26,37,23,17,14
abjuring	1,3,26,37,23,44
ablative	1,3,7,1,30,10,39,17
